单间 | 下关五塘白云雅居 3室1厅 主卧 精装修 可办居住证,白云雅居,1000,http://short.58.com/zd_p/492c54a8-9087-442b-abf0-9c94f08a3044/?target=oc-16-xgk_ephv_83127963920432q-feykn&end=end
单间 | 壹城东区 2室1厅 男女不限,壹城东区,2400,http://nj.58.com/hezu/32547196622894x.shtml
单间 | 汽配城内 1室1卫 单身公寓,高新,600,http://nj.58.com/hezu/32101129471414x.shtml
单间 | 栖霞仙林中天铭廷 4室2厅 700-1100,中天铭廷,700,http://nj.58.com/hezu/29726529706305x.shtml
单间 | 个人房源.威尼斯4街区精装大主卧.价格实惠.无,桥北,600,http://nj.58.com/hezu/32577830777403x.shtml
单间 | 华菁水苑，地铁站附近， 押一付一 无中介,华菁水苑,600,http://nj.58.com/hezu/30621618963791x.shtml
单间 | 迈皋桥月苑营苑新寓 次卧 朝南 精装修 家电齐全 月,营苑新寓,680,http://nj.58.com/hezu/32567696244688x.shtml
单间 | 迈皋桥红山营苑东村 次卧精装修 朝南 家电齐全有宽带,营苑东村,700,http://nj.58.com/hezu/32622472192323x.shtml
单间 | 江宁岔路口金盛南苑 5室1厅 主卧 朝南 精装修,金盛南苑,1100,http://nj.58.com/hezu/32504098825528x.shtml
整租 | 红太阳国际财智广场 1室1厅1卫,红太阳国际财智广场,1000,http://nj.58.com/zufang/32015893761872x.shtml
单间 | 大桥南路8号3巷 3室1厅1卫 男女不限,挹江门,750,http://nj.58.com/hezu/32655337642558x.shtml
单间 | 迈皋桥地铁口中电颐和家园尚玄 4室1厅1卫 男女不限,中电颐和家园尚玄,700,http://nj.58.com/hezu/32555047490748x.shtml
单间 | 单间出租鼓楼三牌楼虎踞北路53 3室1厅 主卧 朝南,虎踞北路53号小区,999,http://nj.58.com/hezu/32588576595384x.shtml
单间 | 1号线竹山路地铁口附近 潭桥公寓 精装月付 无,潭桥公寓北园,850,http://nj.58.com/hezu/32368357779137x.shtml
整租 | 燕雅苑 3室1厅1卫,万寿,2000,http://nj.58.com/zufang/32295690210474x.shtml
整租 | 定坊兴苑(建设中) 2室1厅1卫,铁心桥,2200,http://nj.58.com/zufang/32479916324816x.shtml
单间 | （因陪读便宜出租）月付东山谭桥西寓朝南家电家具全新进,东山,880,http://nj.58.com/hezu/32029286693821x.shtml
单间 | 秦湾景园 3室1厅 主卧 朝南 精装修,南京,1450,http://nj.58.com/hezu/32504150665547x.shtml
单间 | 玄武月苑兴贤佳园修贤 3室1厅 次卧 朝南 精装修,兴贤佳园修贤苑,950,http://nj.58.com/hezu/32404866669235x.shtml
整租 | 吉祥山庄 2室1厅1卫,吉祥山庄,1650,http://nj.58.com/zufang/32533444364980x.shtml
单间 | 【可短租的独卫】江宁东山将军大道翠湖花园1200元/,翠湖花园,1200,http://nj.58.com/hezu/32636939484609x.shtml
单间 | 东大影壁小区 5室1厅1卫 男女不限,珠江路,500,http://nj.58.com/hezu/30035650090188x.shtml
单间 | 栖霞仙林中天铭廷 4室2厅 700-1100,中天铭廷,700,http://nj.58.com/hezu/29726529706305x.shtml
单间 | 个人出租 胜太路地铁口附近艺术家园 主卧出租,东山,1000,http://nj.58.com/hezu/32633514044993x.shtml
单间 | 华菁水苑，地铁站附近， 押一付一 无中介,华菁水苑,600,http://nj.58.com/hezu/30621618963791x.shtml
整租 | 天景山公寓盛乐苑 1室1厅1卫,天景山公寓盛乐苑,800,http://nj.58.com/zufang/32537447721784x.shtml
整租 | 瑞鸿名邸 1室1厅1卫,瑞鸿名邸,1700,http://nj.58.com/zufang/25745040073800x.shtml
整租 | 志宁花园 3室1厅1卫,志宁花园,3300,http://nj.58.com/zufang/32611346651704x.shtml
单间 | 1号线胜太路地铁口附近 胜利新村 精装月付 无！,胜利新村,990,http://nj.58.com/hezu/32368265141940x.shtml
单间 | 押一付一 世纪东山花园 4室2厅2卫 男女不限,科学园,800,http://nj.58.com/hezu/32458054387520x.shtml
单间 | 主卧带阳台，近地铁1号、3号线，可以短租,雨花新村,1300,http://nj.58.com/hezu/32655335463090x.shtml
单间 | 胜太路地铁二十一世纪假日花园精装月付无！,21世纪假日花园,990,http://nj.58.com/hezu/32368301750717x.shtml
整租 | 天湖园 3室1厅1卫,天湖园,4599,http://nj.58.com/zufang/32634526390466x.shtml
整租 | 新城香悦澜山 3室2厅1卫,新城香悦澜山,2200,http://nj.58.com/zufang/30034119556012x.shtml
单间 | 问鼎广场万裕龙庭水岸 三家合住主卧 朝南带阳台 精装,万裕龙庭水岸,950,http://nj.58.com/hezu/32395043605318x.shtml
单间 | 个人租房，无。江宁区庄排路胜利新寓,开发区,1000,http://nj.58.com/hezu/32303032447040x.shtml
单间 | 鼓楼凤凰西街凤凰西街22 2室1厅 次卧 朝南 精装,凤凰西街227号小区,1299,http://nj.58.com/hezu/32014153397071x.shtml
单间 | 个人转租 男女不限 急 急 急,上坊,1110,http://nj.58.com/hezu/32371255629888x.shtml
单间 | 月付 急租便宜 朝南精装龙眠大道地铁青年城天景山欣荣,天景山公寓欣荣苑,600,http://nj.58.com/hezu/31984075838651x.shtml
单间 | 急租月付地铁口精装次卧550，主卧带阳台780,科学园,550,http://nj.58.com/hezu/32488814849325x.shtml
单间 | 竹山路地铁口 武夷绿洲 潭桥公寓 精装朝南 可短租,武夷绿洲观竹苑,980,http://nj.58.com/hezu/32655324358580x.shtml
单间 | 月付 急租便宜 朝南精装龙眠大道地铁青年城天景山欣荣,天景山公寓欣荣苑,600,http://nj.58.com/hezu/31984075838651x.shtml
单间 | 个人出租 河海大学附近江南文枢苑 首次出租,江南文枢苑,800,http://nj.58.com/hezu/32512081341873x.shtml
单间 | 万达附近黄金海岸广场 明月花园 精装月付 无！,明月花园,990,http://nj.58.com/hezu/32368158178500x.shtml
单间 | 张府园 常府街地铁 新街口 洪武路金宝花园 精装修,金宝花园,1200,http://nj.58.com/hezu/32360904678962x.shtml
单间 | 部队家属院环境好安全第一,锁金五村,700,http://nj.58.com/hezu/32655328675757x.shtml
单间 | 秦湾景园 3室1厅 主卧 朝南 精装修,南京,1450,http://nj.58.com/hezu/32504150665547x.shtml
单间 | 【可短租的独卫】江宁东山将军大道翠湖花园1200元/,翠湖花园,1200,http://nj.58.com/hezu/32636939484609x.shtml
整租 | 恒安嘉园 1室1厅1卫,恒安嘉园,1300,http://nj.58.com/zufang/31239268143549x.shtml
单间 | 东大影壁小区 5室1厅1卫 男女不限,珠江路,500,http://nj.58.com/hezu/30035650090188x.shtml
单间 | 常府街地铁 新大都广场 八一医院 白玉兰公寓 精装修,白玉兰公寓,900,http://nj.58.com/hezu/32578081390155x.shtml
单间 | 南邮广场对面高科荣域 2室1厅整租出租2600个人带,高科荣域,2600,http://nj.58.com/hezu/32655330955691x.shtml
整租 | 天景山公寓盛乐苑 1室1厅1卫,天景山公寓盛乐苑,800,http://nj.58.com/zufang/32537447721784x.shtml
整租 | 盛世公馆 1室1厅1卫,盛世公馆,2600,http://nj.58.com/zufang/32533524860341x.shtml
整租 | 瑞鸿名邸 1室1厅1卫,瑞鸿名邸,1700,http://nj.58.com/zufang/25745040073800x.shtml
单间 | 江宁开发区胜利新村 3室1厅 主卧 朝南 精装修,胜利新村,900,http://nj.58.com/hezu/32503919551048x.shtml
单间 | 1号线胜太路地铁口附近 胜利新村 精装月付 无！,胜利新村,990,http://nj.58.com/hezu/32368265141940x.shtml
单间 | 主卧带阳台，近地铁1号、3号线，可以短租,雨花新村,1300,http://nj.58.com/hezu/32655335463090x.shtml
单间 | 翠屏山地铁口 精装主卧 有独立卫生间,南航揽翠苑,1300,http://nj.58.com/hezu/30975862797900x.shtml
单间 | 江宁东山天泽苑 4室1厅 主卧 朝南 精装修,天泽苑,1050,http://nj.58.com/hezu/32504001905485x.shtml
单间 | 21世纪国际公寓小区合租单间精装修个人出租,21世纪国际公寓东区,1200,http://nj.58.com/hezu/32358875226683x.shtml
单间 | 朝南主卧 家电齐全 押一付一 精装修 可以做饭 个人,雯锦雅苑,880,http://nj.58.com/hezu/32423827703095x.shtml
单间 | 双和园 雨润大街地铁口，朝南，个人出租,双和园,1100,http://nj.58.com/hezu/32378833089706x.shtml
单间 | 个人租房，无。江宁区庄排路胜利新寓,开发区,1000,http://nj.58.com/hezu/32303032447040x.shtml
单间 | 个人转租 男女不限 急 急 急,上坊,1110,http://nj.58.com/hezu/32371255629888x.shtml
单间 | 月付自己出租图片真实科学园天元城带独立 厨房和阳台,天元城,700,http://nj.58.com/hezu/31952067205827x.shtml
单间 | 单间出租 建邺茶南福园 可短租 精装修,福园,1399,http://nj.58.com/hezu/32588457777480x.shtml
单间 | 白下苜蓿园苜蓿园东街6 4室1厅 次卧 朝南 精装修,苜蓿园东街6号小区,1400,http://nj.58.com/hezu/31659588411306x.shtml
单间 | 急租月付地铁口精装次卧550，主卧带阳台780,科学园,550,http://nj.58.com/hezu/32488814849325x.shtml
单间 | 竹山路地铁口 武夷绿洲 潭桥公寓 精装朝南 可短租,武夷绿洲观竹苑,980,http://nj.58.com/hezu/32655324358580x.shtml
单间 | 迈皋桥红山营苑东村 次卧朝南 精装修 家电齐全月付,营苑东村,650,http://nj.58.com/hezu/32622536993842x.shtml
单间 | 莫愁湖地铁口旁凤凰西街电梯次卧带阳台,龙凤玫瑰园,900,http://nj.58.com/hezu/32581681021107x.shtml
单间 | 江宁岔路口南方花园(东 3室1厅 主卧 朝南 精装修,南方花园(东区),800,http://nj.58.com/hezu/32504079134006x.shtml
单间 | 个人出租金盛路经纬城市花园 精装修，拎包入住,经纬城市花园,900,http://nj.58.com/hezu/32467055938498x.shtml
单间 | 栖霞仙林高科荣域独卫主卧1300次卧700-1000,高科荣域,1300,http://nj.58.com/hezu/26152578326063x.shtml
单间 | 江宁3号线天元西路地铁站百家湖西花园伦敦城 拎包入住,百家湖西花园伦敦城,1100,http://nj.58.com/hezu/32094110225330x.shtml
单间 | 殷巷恒大绿洲 4室2厅 合租房主卧 朝南 精装修,秣陵,1000,http://short.58.com/zd_p/ed138252-1584-4af4-9d44-a42dd44c6cb8/?target=oc-16-xgk_ephv_83938728749693q-feykn&end=end
整租 | 天润城第三街区 3室2厅1卫,天润城第三街区,2200,http://short.58.com/zd_p/be8e9065-087d-4ab9-84f8-058195adeb81/?target=oc-16-xgk_hvimob_83867485164712q-feykn&end=end
单间 | 年前甩租江宁万达广场附近新房首租3居中的一间带独卫可,东山,800,http://short.58.com/zd_p/e2a57cf4-d583-47c6-bf93-f3696e3fd1fb/?target=oc-16-xgk_ephv_83838221582908q-feykn&end=end
单间 | 四方新村四村 精装4室1厅1卫 男女不限,光华路,600,http://short.58.com/zd_p/b8939256-e505-4581-9ef7-c69b937797ef/?target=oc-16-xgk_ephv_83102453125385q-feykn&end=end
整租 | 建宁路96号苏红市场（金海市场 1室1厅1卫,许府巷,1000,http://short.58.com/zd_p/9f043df4-a437-481f-9c40-0eea1fec10a2/?target=oc-16-xgk_hvimob_83102911310785q-feykn&end=end
整租 | 潭桥公寓北园 1室1卫0厅,潭桥公寓北园,1000,http://short.58.com/zd_p/a490da43-e678-49f8-9eb4-4080b2fa81bc/?target=oc-16-xgk_hvimob_84862825804053q-feykn&end=end
单间 | 建邺奥体莲花新城嘉园 3室1厅 可短租3个月,莲花新城嘉园,1000,http://short.58.com/zd_p/b12eac4b-1886-4043-a646-eb9324f21a88/?target=oc-16-xgk_ephv_84269186486100q-feykn&end=end
整租 | 东方万汇国际公寓(东方万汇城南区) 2室1厅1卫,东方万汇国际公寓(东方万汇城南区),1800,http://short.58.com/zd_p/48fe66e8-7691-40a8-bb29-7659af655483/?target=oc-16-xgk_hvimob_83889471619498q-feykn&end=end
整租 | 湖心花园 3室1厅2卫,湖心花园,6000,http://short.58.com/zd_p/fdf224b7-f3f4-4180-9d56-975b7276e3e6/?target=oc-16-xgk_hvimob_83128198710104q-feykn&end=end
整租 | 佳和园 1室1厅1卫,佳和园,3000,http://short.58.com/zd_p/48a766be-71b0-4916-93d0-727c985020ea/?target=oc-16-xgk_hvimob_83522649699091q-feykn&end=end
整租 | 悦恒君铂国际 1室0厅1卫,悦恒君铂国际,1600,http://short.58.com/zd_p/9c779d97-93f1-46cd-a09f-77a9d4b37fe2/?target=oc-16-xgk_hvimob_83935645137647q-feykn&end=end
整租 | 清润园 2室1厅1卫,奥体,2800,http://short.58.com/zd_p/cbc2eeca-1f94-4325-b552-11962306726d/?target=oc-16-xgk_hvimob_36487803941358q-feykn&end=end
单间 | 朝南450个人房源,兴都花园86号,450,http://short.58.com/zd_p/be742585-a53a-46b9-9e4c-56f064b157e1/?target=oc-16-xgk_ephv_87466602177778q-feykn&end=end
单间 | 弘阳旭日上城三区 个人房东 可以月付 三区的,弘阳旭日上城三区,550,http://short.58.com/zd_p/82667cba-eefa-4f66-be42-fd2ce16fe719/?target=oc-16-xgk_ephv_83136339735221q-feykn&end=end
整租 | 新河苑二期 4室1厅1卫,新河苑二期,3000,http://short.58.com/zd_p/2ff9e69a-8fb2-40b2-9503-4dd97a1b3af1/?target=oc-16-xgk_hvimob_83981399025539q-feykn&end=end
单间 | 可月付！可短租！马群靠着仙鹤门紫东创意园苏宁,马群,600,http://short.58.com/zd_p/6c80fd47-f0d7-445a-a754-66277948b99b/?target=oc-16-xgk_ephv_87282953489239q-feykn&end=end
单间 | 个人可月付小单间便宜租南京交院地铁两百米广告长期有效,江宁,300,http://short.58.com/zd_p/520df417-2b4e-413f-9c3f-25f8a8eb5c6f/?target=oc-16-xgk_ephv_39520739968045q-feykn&end=end
单间 | 1号线胜太路地铁站精装公寓房独立厨房卫生间,湖滨公寓东区,1650,http://short.58.com/zd_p/7b3dae8b-3d86-4272-be28-521218bf8a33/?target=oc-16-xgk_ephv_83940342394748q-feykn&end=end
单间 | 天印大道地铁口单间850/月,科学园,850,http://short.58.com/zd_p/2d245d59-63fa-4ee1-af54-087fcfe4e318/?target=oc-16-xgk_ephv_83937040603410q-feykn&end=end
整租 | 百水芊城云水坊 3室2厅1卫,百水芊城云水坊,3000,http://short.58.com/zd_p/85935678-6d8c-4ebd-a0ce-ba684afc977c/?target=oc-16-xgk_hvimob_83897819863436q-feykn&end=end
单间 | 房东莲花新城嘉园合租次卧朝南北精装修全新空调,莲花新城嘉园,700,http://short.58.com/zd_p/fcc2415d-9da7-4a04-a32b-ce77a3a7d765/?target=oc-16-xgk_ephv_36236744501127q-feykn&end=end
整租 | 东麒雅苑 2室1厅1卫,上坊,1600,http://short.58.com/zd_p/ce0833d8-ae29-4ba7-b57a-bcb671dadab4/?target=oc-16-xgk_hvimob_83938144407805q-feykn&end=end
单间 | 雨润大街地铁口 金沙雅苑 4室1厅2卫 男女不限,金沙雅苑,1200,http://short.58.com/zd_p/6e193f70-1db8-48b9-a699-60c6320d592c/?target=oc-16-xgk_ephv_84599729798011q-feykn&end=end
单间 | 万达附近《女人街700一个月》押一付一,东山,700,http://short.58.com/zd_p/d85882b1-50b2-4d29-9a55-683a474e1166/?target=oc-16-xgk_ephv_83162980442610q-feykn&end=end
单间 | 个人房源！图片真实！江宁托乐嘉街区 朝南主卧 简装,托乐嘉花园,1000,http://short.58.com/zd_p/1bc3b213-7a76-44a3-8090-6607ce39fb91/?target=oc-16-xgk_ephv_32265497393140q-feykn&end=end
单间 | /个人/干净实惠/押一付一明发滨江新城小三期500不,明发滨江新城三期,500,http://short.58.com/zd_p/034605c5-2afb-47df-af2b-700fc2002fd4/?target=oc-16-xgk_ephv_87426713143204q-feykn&end=end
单间 | 550-1000 之间 主卧 次卧 石墙无隔断,莲花新城北苑,550,http://short.58.com/zd_p/9b09363b-4303-4831-a88e-4ddca8a9a5b8/?target=oc-16-xgk_ephv_36726157575264q-feykn&end=end
单间 | 景明佳园春江花园新城一共五间房子，非中介铁心桥地铁口,春江花园,950,http://short.58.com/zd_p/43d5ceb3-ca1f-4381-9a96-218e4dee7843/?target=oc-16-xgk_ephv_83971624784359q-feykn&end=end
单间 | 能仁里1号 3室1厅1卫 精装 可办住房补贴,能仁里,1000,http://short.58.com/zd_p/b25a00bf-1115-480c-b0ed-4307b7551565/?target=oc-16-xgk_ephv_83931630777777q-feykn&end=end
单间 | 押一付一天景山公寓碧华苑 4室1厅 次卧 朝南 中等,科学园,400,http://short.58.com/zd_p/2b16ef36-18f9-4316-a644-b7a9ea5812b9/?target=oc-16-xgk_ephv_87152681326010q-feykn&end=end
单间 | 个人房源 天润城地铁口 正规三房 可月付 包宽带物业,沿江,550,http://short.58.com/zd_p/ab395745-804a-468b-a85c-0e0b89391bc6/?target=oc-16-xgk_ephv_32678103660859q-feykn&end=end
单间 | 翠林山庄 2室1厅1卫 男女不限,翠林山庄,800,http://short.58.com/zd_p/29054893-6a26-4fce-8926-c63f33da4119/?target=oc-16-xgk_ephv_83189133310383q-feykn&end=end
单间 | 浦口桥北威尼斯水城临近地铁三号线柳州东路站个人出租,威尼斯水城第五街区,550,http://short.58.com/zd_p/54e4a026-8a42-444e-a0ee-e6eff0464d0d/?target=oc-16-xgk_ephv_83851595504882q-feykn&end=end
整租 | 宁夏路23号小区 1室0厅1卫,宁夏路23号小区,900,http://short.58.com/zd_p/2fc66771-ebe3-4439-9973-061e4cfe6f9b/?target=oc-16-xgk_hvimob_87618521652324q-feykn&end=end
整租 | 潭桥公寓北园 3室2厅1卫,潭桥公寓北园,2900,http://short.58.com/zd_p/415b2242-8c56-42a4-96b8-5368df146a66/?target=oc-16-xgk_hvimob_83942597683245q-feykn&end=end
"整租 | 苏博精装修公寓,高速宽带,可月付(非中介)，现租房就",南京,1200,http://short.58.com/zd_p/b9e9880d-e30e-4bf7-92e7-b2ef4bd51401/?target=oc-16-xgk_hvimob_35605166859533q-feykn&end=end
单间 | 建邺奥体莲花新城北苑 3室1厅 主卧 朝南北 精装修,莲花新城北苑,900,http://short.58.com/zd_p/a35f9a86-9854-4e59-8a19-134fc4941ec2/?target=oc-16-xgk_ephv_83911441120445q-feykn&end=end
单间 | 龙眠大道欣荣苑月付单间，长短皆可,科学园,500,http://short.58.com/zd_p/6c36f839-19a8-4cb7-b650-19ca03d2ffc7/?target=oc-16-xgk_ephv_83981426237398q-feykn&end=end
"单间 | 房子月付可长短租,在龙眠大道地铁旁,便宜出租了",科学园,500,http://short.58.com/zd_p/3969586a-ec07-4ff2-a5e9-0e767193597c/?target=oc-16-xgk_ephv_83724069216866q-feykn&end=end
单间 | 鼓楼地铁口许府巷小区合租主卧32室1厅1卫 男女不限,湖南路,850,http://short.58.com/zd_p/d3491339-18de-4fb6-88e1-61a36d71fb33/?target=oc-16-xgk_ephv_87112915129705q-feykn&end=end
单间 | 个人出租万达广场女人街对面广汇花园电梯房主卧次卧可月,广汇花园,800,http://short.58.com/zd_p/2cba62b0-8048-42ea-873e-447195cc35c7/?target=oc-16-xgk_ephv_83124726427216q-feykn&end=end
单间 | 可月付。[可以短租] 【 主卧带独卫次卧带阳 台】真,威尼斯水城第一街区,650,http://short.58.com/zd_p/2ed053bc-a767-4cae-825d-3abee341973f/?target=oc-16-xgk_ephv_84920366376103q-feykn&end=end
单间 | 万裕龙庭水岸 4室2厅 次卧 朝南 精装修,南京,450,http://short.58.com/zd_p/c497998f-3ea7-46a4-9c90-7b69ea456e43/?target=oc-16-xgk_ephv_37335250971936q-feykn&end=end
整租 | 长乐公寓 1室1厅1卫,长乐公寓,2000,http://short.58.com/zd_p/9d04dd50-7267-4470-889e-fd41684f86a0/?target=oc-16-xgk_hvimob_83535180739429q-feykn&end=end
单间 | 胜利新村 4室1厅1卫,秣陵,750,http://short.58.com/zd_p/61c097e8-d0e3-4ad7-a820-110c5bf796c1/?target=oc-16-xgk_ephv_83110436018343q-feykn&end=end
整租 | 南京市江宁医院住宅区 3室2厅1卫,南京市江宁医院住宅区,3500,http://short.58.com/zd_p/1a36bd7a-8c31-44fc-b588-48304449ec86/?target=oc-16-xgk_hvimob_83973866715230q-feykn&end=end
整租 | 美之国花园 2室1厅1卫,美之国花园,2400,http://short.58.com/zd_p/4015b678-4152-4643-bc70-189dde772f7c/?target=oc-16-xgk_hvimob_83939605823898q-feykn&end=end
整租 | 湖滨公寓西区 1室0厅1卫,湖滨公寓西区,1450,http://short.58.com/zd_p/ad23c8af-0fcd-4273-bbae-a1528d15dd36/?target=oc-16-xgk_hvimob_83988754133648q-feykn&end=end
整租 | 莫愁路/朝天宫西街(路口) 1室0厅1卫,朝天宫,2500,http://short.58.com/zd_p/822d12f5-d0b2-4a92-a52a-9987770e1b39/?target=oc-16-xgk_hvimob_83464030280830q-feykn&end=end
单间 | 低价出租湖南路玄武门地铁站主卧朝南1300元精装家具,南京,1300,http://short.58.com/zd_p/0bd0eafd-7bda-495f-959e-22f457477c27/?target=oc-16-xgk_ephv_84153032156817q-feykn&end=end
单间 | 下关五塘白云雅居 3室1厅 主卧 精装修 可办居住证,白云雅居,1000,http://short.58.com/zd_p/e51e470d-e260-4eb7-be3f-c0e39dfea12d/?target=oc-16-xgk_ephv_83127963920432q-feykn&end=end
单间 | 主卧独卫 次卧带阳台 可短租 可随时看房,威尼斯水城第一街区,600,http://short.58.com/zd_p/528029f8-33ed-4e9c-ade2-07003eb4bfc0/?target=oc-16-xgk_ephv_87586307048387q-feykn&end=end
单间 | (个人房源)油坊桥地铁口单间550元,莲花新城嘉园,550,http://short.58.com/zd_p/be57dd49-e3a5-4d35-9986-660e58128ffa/?target=oc-16-xgk_ephv_33323196499373q-feykn&end=end
单间 | 明发三期，地铁3号线，（可短租），拎包入住，押一付一,明发滨江新城三期,550,http://short.58.com/zd_p/8c08f42b-3c6e-4a48-87da-890f6833d034/?target=oc-16-xgk_ephv_83970343367533q-feykn&end=end
整租 | 江南文枢苑(别墅) 1室1厅1卫,江南文枢苑(别墅),1890,http://short.58.com/zd_p/076c93c2-b11f-439e-8b8a-959694849e88/?target=oc-16-xgk_hvimob_83508437500216q-feykn&end=end
整租 | 南京工业大学江浦校区亚青村-19幢 2室2厅1卫,江浦,2200,http://short.58.com/zd_p/b560e53e-da92-428e-9374-87a50a5f004e/?target=oc-16-xgk_hvimob_83935627686246q-feykn&end=end
单间 | 玉兰里 3室1厅1卫 男女不限 朝南主卧，带大阳台,玉兰里,1250,http://short.58.com/zd_p/eb583343-98e9-4855-a0f7-6a6a1819042d/?target=oc-16-xgk_ephv_83111862153464q-feykn&end=end
整租 | 艺华商业广场 1室1厅1卫,止马营,2300,http://short.58.com/zd_p/34916fbe-5e66-44f1-892a-a6d02144ca90/?target=oc-16-xgk_hvimob_87112185599017q-feykn&end=end
单间 | 个人出租竹山路地铁口谭桥北园 精装主卧800次卧60,科学园,500,http://short.58.com/zd_p/b9c32704-6010-4790-bbf5-b587a9404d78/?target=oc-16-xgk_ephv_83188063120632q-feykn&end=end
单间 | 朋友转租 双龙大道地铁 名嘉佳园 3室1厅 朝南 精,名嘉佳园,900,http://nj.58.com/hezu/32423824113213x.shtml
单间 | （可短租）江宁开发区胜利新村 3室1厅 精装修,胜利新村,850,http://nj.58.com/hezu/32655835818811x.shtml
单间 | 太平花苑 3室1厅 次卧 朝南北 精装修,南京,700,http://nj.58.com/hezu/32445323886510x.shtml
单间 | 河西万达广场旁次卧单间实体间|月租直降200元|可以,积善新寓,700,http://nj.58.com/hezu/32194676654514x.shtml
单间 | 雨花台铁心桥春江花园 精装修 拎包入住 可做饭,春江花园,1000,http://nj.58.com/hezu/30597850056635x.shtml
单间 | 红庙8号小区 4室1卫 男女不限,华侨路,1000,http://nj.58.com/hezu/32493616921420x.shtml
单间 | 景明佳园 赋景苑 3室1厅1卫 男女不限,铁心桥,900,http://nj.58.com/hezu/32655837278778x.shtml
单间 | 雨花台铁心桥天隆坊 4室1厅 主卧 朝南 精装修,天隆坊,1300,http://nj.58.com/hezu/32523845802304x.shtml
整租 | 莲花新城南苑 2室1厅1卫,莲花新城南苑,2250,http://nj.58.com/zufang/32602698296631x.shtml
单间 | 洪庙巷小区 单独阳台浴室主卧出租男女不限,福建路,1760,http://nj.58.com/hezu/32568085019066x.shtml
单间 | 潭桥公寓北园 4室1厅 主卧 朝南 精装修,潭桥公寓北园,900,http://nj.58.com/hezu/32534824713549x.shtml
单间 | 朋友转租 双龙大道地铁口 南方花园，电梯房，月付精装,南方花园(东区),900,http://nj.58.com/hezu/32423801295665x.shtml
单间 | 恒安嘉园 朝南带飘窗4室2厅2卫 男女不限,科学园,500,http://nj.58.com/hezu/32457207987135x.shtml
单间 | 科学园竹山路地铁口市政天元城3室2厅1卫,天元城,700,http://nj.58.com/hezu/31739189907904x.shtml
整租 | 中海凯旋门 1室1厅1卫,中海凯旋门,3200,http://nj.58.com/zufang/32655834717890x.shtml
单间 | 江宁开发区颐和南园 3室1厅 主卧 朝南 精装修,颐和南园,900,http://nj.58.com/hezu/32469900752588x.shtml
单间 | 百家湖西花园 4室1厅 主卧 朝南 精装修,百家湖西花园巴黎城,1000,http://nj.58.com/hezu/32534718133326x.shtml
单间 | 紧邻龙眠大道地铁口天景山荣华苑3居中的一间可月付,天景山公寓荣华苑,600,http://nj.58.com/hezu/32456396244140x.shtml
单间 | 汉中门上海路地铁南京中医药大学附近精装电梯房急租,止马村小区,2200,http://nj.58.com/hezu/32655839039310x.shtml
整租 | 定坊嘉苑 3室1厅1卫,铁心桥,2500,http://nj.58.com/zufang/32459218440653x.shtml
单间 | 个人龙眠大道地铁口天景山公寓3室1厅次卧 朝南 精装,天景山公寓景秀苑,600,http://nj.58.com/hezu/32425925116077x.shtml
单间 | 江宁科学园武夷绿洲观竹 3室1厅 主卧 朝南 精装修,武夷绿洲观竹苑,950,http://nj.58.com/hezu/32423696364458x.shtml
单间 | 东秦新苑 3室1厅 主卧 朝南 精装修,东秦新苑,1000,http://nj.58.com/hezu/32534656135092x.shtml
整租 | 江山名座 1室1厅1卫,江山名座,2200,http://nj.58.com/zufang/32645568424265x.shtml
单间 | 江宁东山顺达佳苑 3室1厅 主卧 朝南 精装修,顺达佳苑,900,http://nj.58.com/hezu/32423732341833x.shtml
单间 | 江宁岔路口仲景公寓 3室1厅 主卧 朝南 精装修,仲景公寓,850,http://nj.58.com/hezu/32423582161723x.shtml
单间 | 集庆门地铁口 金鹰世界 河西万达 乐基广场 应天大街,世纪之星,1200,http://nj.58.com/hezu/32559215093935x.shtml
单间 | 中和桥20号 2室1厅1卫 整房出租，环境优美，采光,秦虹,2600,http://nj.58.com/hezu/32655824969034x.shtml
单间 | 南方花园(西 3室1厅 主卧 朝南 精装修,南方花园(西区),1000,http://nj.58.com/hezu/32534612693181x.shtml
整租 | 中商万豪 1室1厅1卫,中商万豪,3200,http://nj.58.com/zufang/32655832187711x.shtml
单间 | 房屋超干净，独立卫生间，全新的家具家电，可以按月付款,明发滨江新城二期,850,http://nj.58.com/hezu/32633390507855x.shtml
整租 | 翠岭银河 3室1厅1卫,翠岭银河,2300,http://nj.58.com/zufang/32634912165431x.shtml
单间 | 个人出租，江宁万达旁边东平雅苑3室中的一间首次出租,东平雅苑,800,http://nj.58.com/hezu/32523022786752x.shtml
单间 | 集庆门地铁口 金鹰世界对面 河西万达广场 苏宁慧谷,万和源居,1200,http://nj.58.com/hezu/32559252908202x.shtml
单间 | 文静路 文静新村 3室1厅 主卧 朝南 精装修月付,东山,750,http://nj.58.com/hezu/32423913010354x.shtml
单间 | 个人出租，江宁万达旁边东平雅苑3室中的一间首次出租,东平雅苑,800,http://nj.58.com/hezu/32523022786752x.shtml
单间 | 集庆门地铁口 金鹰世界对面 河西万达广场 苏宁慧谷,万和源居,1200,http://nj.58.com/hezu/32559252908202x.shtml
整租 | 定坊嘉苑 3室1厅1卫,铁心桥,2500,http://nj.58.com/zufang/32459218440653x.shtml
单间 | 转租龙江地铁口 宁工新寓 精装主卧带阳台,龙江,1000,http://nj.58.com/hezu/31982611697976x.shtml
